,id,host_id,zipcode,accommodates,bathrooms,bedrooms,beds,minimum_nights,availability_30,number_of_reviews,review_scores_rating,host_listing_count,Apartment,Bed & Breakfast,Boat,Castle,Dorm,House,Hut,Loft,Other,Tent,Treehouse,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,price,price_log
71,67272,331589,11217,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,-1.3027570250517688,1.4648016205320669,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,130.0,4.867534450455582
72,3540734,1096057,10010,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,1.096567719327034,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,350.0,5.857933154483459
73,3344643,921046,10012,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,-1.3027570250517688,-0.35751537601097877,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,225.0,5.41610040220442
74,1509665,4132505,10011,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,-1.3027570250517688,0.2827581633149562,95-100,0.08037640832202401,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,219.0,5.389071729816501
75,2351967,12010916,10011,0.028250972045239065,-0.3370343067877555,1.235102772229469,-0.5068550097086097,-0.22257021951315167,-1.3027570250517688,-0.25901175457621956,85-89,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,209.0,5.342334251964811
76,511887,1264213,10002,0.028250972045239065,-0.3370343067877555,1.235102772229469,-0.5068550097086097,0.9661606895449907,1.0165902278477406,-0.456018997445738,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,250.0,5.521460917862246
77,265626,1392974,10013,0.5760424299973689,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,0.9366127363684471,1.2677943776625484,85-89,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,200.0,5.298317366548036
78,45134,199330,10025,0.028250972045239065,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,0.17367341683956244,-1.3027570250517688,1.2185425669451688,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,149.0,5.003946305945459
79,2391094,12213079,10028,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,-1.3027570250517688,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,150.0,5.0106352940962555
80,752699,599076,11237,1.6716253459016284,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,-0.6188138558658658,0.9366127363684471,-0.456018997445738,85-89,1.4701104360834716,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,250.0,5.521460917862246
81,3883866,20082466,10027,-1.0673319438590205,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,-0.6188138558658658,-1.3027570250517688,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,50.0,3.912023005428146
82,1018769,5608267,11205,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,0.21681531305480634,0.7752762704887524,90-94,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60.0,4.0943445622221
83,840989,2702260,10026,-1.0673319438590205,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,1.758647962250419,0.8566352448891538,0.430513595467095,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,65.0,4.174387269895637
84,949455,3881311,11211,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.17367341683956244,-0.42300461877954104,1.612557052684206,90-94,0.08037640832202401,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,95.0,4.553876891600541
85,1456565,1386519,10010,0.028250972045239065,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,0.29679280453409973,-0.16050813314146034,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,200.0,5.298317366548036
87,2318157,6781477,11221,0.5760424299973689,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,-0.6188138558658658,0.9366127363684471,1.2677943776625484,70-79,0.5436210842425065,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,95.0,4.553876891600541
88,672616,3411265,10024,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.9661606895449907,-1.3027570250517688,-0.4067671867283584,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,195.0,5.272999558563747
89,4250746,22057975,11221,1.1238338879494987,-0.3370343067877555,1.235102772229469,1.2700382361934728,0.17367341683956244,1.0165902278477406,-0.30826356529359916,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,170.0,5.135798437050262
90,3419800,17173536,10010,-1.0673319438590205,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,-1.3027570250517688,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,100.0,4.605170185988092
91,531208,2495836,11211,0.028250972045239065,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,1.096567719327034,-0.012752700989321495,95-100,-0.38286826759845854,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,450.0,6.1092475827643655
92,1346501,3218639,10014,0.5760424299973689,-0.3370343067877555,1.235102772229469,0.38159161324243157,-0.6188138558658658,-0.5829596017381279,-0.456018997445738,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,300.0,5.703782474656201
93,3457987,17426845,10003,0.028250972045239065,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,1.096567719327034,-0.35751537601097877,90-94,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,369.0,5.910796644040527
94,560075,2753545,10016,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,1.096567719327034,0.036499109728058116,95-100,0.5436210842425065,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,118.0,4.770684624465665
95,3849812,5080439,10039,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,-0.6188138558658658,1.096567719327034,-0.35751537601097877,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,80.0,4.382026634673881
96,4595519,10575875,10003,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.17367341683956244,-0.7429145846967148,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,149.0,5.003946305945459
97,799319,838848,11205,0.028250972045239065,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,-0.6188138558658658,1.096567719327034,0.9230317026408912,90-94,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,133.0,4.890349128221754
98,335778,1708922,11222,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,-1.3027570250517688,-0.25901175457621956,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,169.0,5.1298987149230735
99,54486,255748,11233,-1.0673319438590205,2.3140196115930816,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,-0.9028695676553016,2.1050751598580018,90-94,0.5436210842425065,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,50.0,3.912023005428146
100,729214,3787592,11222,-0.5195404859068907,-0.3370343067877555,1.235102772229469,-0.5068550097086097,0.9661606895449907,-0.023117161383073945,-0.30826356529359916,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,142.0,4.955827057601261
